"Gulshan 2";"24.9098363";"67.0858347";"[[{x:24.9012204,y:67.0982855}, {x:24.9012107,y:67.0982782}, {x:24.9010015,y:67.0986037}, {x:24.9012204,y:67.0982855}]]"
"Lucky One Mall";"24.932105";"67.0867343";""
"Islamabad F-6";"33.7292641";"73.0747652";"[[{x:33.7131669,y:73.0268955}, {x:33.7090615,y:73.0299211}, {x:33.7060984,y:73.0321097}, {x:33.7025103,y:73.0347919}, {x:33.6992435,y:73.0372167}, {x:33.6948518,y:73.0404353}, {x:33.6896564,y:73.0443406}, {x:33.6854607,y:73.0474091}, {x:33.6882281,y:73.0526876}, {x:33.690567,y:73.0572367}, {x:33.6922095,y:73.0606484}, {x:33.6950839,y:73.0660772}, {x:33.6975475,y:73.0706477}, {x:33.7013678,y:73.0777931}, {x:33.7056699,y:73.0858397}, {x:33.7091686,y:73.0924487}, {x:33.7127028,y:73.099165}, {x:33.7178789,y:73.095324}, {x:33.7226799,y:73.0918479}, {x:33.7271237,y:73.0885649}, {x:33.7316744,y:73.0848956}, {x:33.7335838,y:73.0832863}, {x:33.7343333,y:73.0833721}, {x:33.7369742,y:73.081913}, {x:33.7401504,y:73.0833721}, {x:33.742363,y:73.0828571}, {x:33.7399006,y:73.0779862}, {x:33.7358201,y:73.0700044}, {x:33.7329057,y:73.0644464}, {x:33.7289975,y:73.0568933}, {x:33.7306572,y:73.0557775}, {x:33.7274806,y:73.0408001}, {x:33.722555,y:73.0444908}, {x:33.7193603,y:73.0385685}, {x:33.7158085,y:73.0317664}, {x:33.7131669,y:73.0268955}]]"
"Murree";"33.905229";"73.3922231";""
"Packages Mall";"31.469994";"74.3546436";""
"Johar Town Expo";"31.465087";"74.2541533";"[[{x:31.4808402,y:74.2822552}, {x:31.478638,y:74.2754526}, {x:31.4761491,y:74.2655391}, {x:31.4739897,y:74.2557545}, {x:31.4720498,y:74.2479868}, {x:31.469634,y:74.2493601}, {x:31.4683454,y:74.2500794}, {x:31.4669521,y:74.2480409}, {x:31.4647078,y:74.2495751}, {x:31.4617274,y:74.2497034}, {x:31.4613996,y:74.2517155}, {x:31.460219,y:74.2517799}, {x:31.4608093,y:74.2528099}, {x:31.4598209,y:74.2551434}, {x:31.4594211,y:74.261076}, {x:31.4594944,y:74.2627067}, {x:31.4587988,y:74.2650242}, {x:31.4611417,y:74.2754955}, {x:31.4604095,y:74.2766971}, {x:31.4620934,y:74.2783708}, {x:31.4656808,y:74.2793579}, {x:31.4679868,y:74.2789717}, {x:31.4710615,y:74.2775984}, {x:31.4733675,y:74.2792721}, {x:31.4718668,y:74.2828769}, {x:31.4717204,y:74.284894}, {x:31.4711713,y:74.2849369}, {x:31.4711713,y:74.2862243}, {x:31.4708785,y:74.2879839}, {x:31.4753439,y:74.2889709}, {x:31.4764054,y:74.2872114}, {x:31.4780677,y:74.2839289}, {x:31.4798794,y:74.2844761}, {x:31.4808402,y:74.2822552}]]"
"Shahbaz";"24.8097232";"67.062995";"[[{x:24.8110477,y:67.0585858}, {x:24.8071911,y:67.0550882}, {x:24.7999647,y:67.0481573}, {x:24.7935824,y:67.0557557}, {x:24.791373,y:67.0587334}, {x:24.7896685,y:67.0599135}, {x:24.789421,y:67.0603619}, {x:24.7878196,y:67.0630847}, {x:24.7917776,y:67.0662509}, {x:24.7980248,y:67.0723066}, {x:24.8028048,y:67.0772945}, {x:24.8215648,y:67.0746575}, {x:24.8313977,y:67.0736102}, {x:24.8303638,y:67.0690865}, {x:24.8250587,y:67.0661426}, {x:24.822932,y:67.0651214}, {x:24.8218102,y:67.0666707}, {x:24.8203769,y:67.0672329}, {x:24.8162966,y:67.0637139}, {x:24.8187944,y:67.0598516}, {x:24.8174919,y:67.0566331}, {x:24.8173399,y:67.0544551}, {x:24.8175774,y:67.0521913}, {x:24.8174682,y:67.0513116}, {x:24.8154795,y:67.0533179}, {x:24.8143672,y:67.0545088}, {x:24.8110477,y:67.0585858}]]"
"Sial";"31.9713617";"73.1140616";""
"D Ground";"31.4064655";"73.1125033000001";"[[{x:31.4300904,y:73.0947015}, {x:31.4294416,y:73.0945299}, {x:31.4278026,y:73.0934572}, {x:31.4261364,y:73.0957747}, {x:31.4250377,y:73.0942297}, {x:31.423756,y:73.0956459}, {x:31.4214675,y:73.098757}, {x:31.4208266,y:73.0983493}, {x:31.4199107,y:73.0976629}, {x:31.4190321,y:73.0968044}, {x:31.4181806,y:73.0960104}, {x:31.4167614,y:73.0947015}, {x:31.4148191,y:73.0928991}, {x:31.4143796,y:73.0915258}, {x:31.4155528,y:73.0863758}, {x:31.4152965,y:73.0822989}, {x:31.4148191,y:73.0797669}, {x:31.4142331,y:73.0750462}, {x:31.409506,y:73.0750462}, {x:31.408666,y:73.0748745}, {x:31.4078944,y:73.0740162}, {x:31.4072741,y:73.0735012}, {x:31.4056234,y:73.0731579}, {x:31.4046369,y:73.0730721}, {x:31.4031717,y:73.0732008}, {x:31.4014868,y:73.0735871}, {x:31.3997652,y:73.0738875}, {x:31.3978237,y:73.0744454}, {x:31.3972743,y:73.07363}, {x:31.3949298,y:73.0700251}, {x:31.3932996,y:73.0670854}, {x:31.3913764,y:73.0636307}, {x:31.3909734,y:73.0627724}, {x:31.3883357,y:73.0660769}, {x:31.3869436,y:73.0680081}, {x:31.3854232,y:73.0699821}, {x:31.3843424,y:73.071613}, {x:31.3837196,y:73.0733511}, {x:31.382364,y:73.0735871}, {x:31.3787002,y:73.0782648}, {x:31.373021,y:73.0857965}, {x:31.3769415,y:73.0898735}, {x:31.3781873,y:73.0911824}, {x:31.3821442,y:73.0952165}, {x:31.3782606,y:73.1007526}, {x:31.3840493,y:73.1069753}, {x:31.3848553,y:73.1080053}, {x:31.3748897,y:73.1208799}, {x:31.3692469,y:73.1176183}, {x:31.3645566,y:73.1242273}, {x:31.3732592,y:73.1333575}, {x:31.3836097,y:73.1262014}, {x:31.3887113,y:73.1294093}, {x:31.3906528,y:73.1306002}, {x:31.392512,y:73.1318662}, {x:31.3993989,y:73.1391618}, {x:31.4026956,y:73.1425521}, {x:31.4036479,y:73.1435392}, {x:31.4049666,y:73.144655}, {x:31.4079701,y:73.1458137}, {x:31.4082264,y:73.1458566}, {x:31.4102776,y:73.1435392}, {x:31.408263,y:73.1413076}, {x:31.4101677,y:73.1388614}, {x:31.4117792,y:73.1404922}, {x:31.4131252,y:73.1417367}, {x:31.4144529,y:73.14311}, {x:31.4226566,y:73.1325632}, {x:31.4281863,y:73.1382709}, {x:31.4315186,y:73.1340223}, {x:31.4294116,y:73.1315646}, {x:31.4337982,y:73.1259081}, {x:31.4316222,y:73.1227488}, {x:31.4381142,y:73.1136325}, {x:31.4314888,y:73.1101379}, {x:31.4350795,y:73.1056128}, {x:31.437304,y:73.1028554}, {x:31.4321227,y:73.0978236}, {x:31.430896,y:73.0966005}, {x:31.4305673,y:73.0962038}, {x:31.4304565,y:73.0958602}, {x:31.4302002,y:73.0950878}, {x:31.4300904,y:73.0947015}]]"
"PWD";"33.5703018";"73.1421181";"[[{x:33.5589022,y:73.1356138}, {x:33.5559351,y:73.1387385}, {x:33.5540575,y:73.1429228}, {x:33.5554701,y:73.1457766}, {x:33.5556491,y:73.1504116}, {x:33.5539861,y:73.1527505}, {x:33.5525107,y:73.1560657}, {x:33.5533958,y:73.159295}, {x:33.5554523,y:73.1634791}, {x:33.5561944,y:73.1650563}, {x:33.5564357,y:73.1679209}, {x:33.5644463,y:73.1619557}, {x:33.5734573,y:73.1549605}, {x:33.5783914,y:73.1513558}, {x:33.5827534,y:73.1478795}, {x:33.585971,y:73.1456479}, {x:33.5847556,y:73.1393392}, {x:33.5823601,y:73.134404}, {x:33.5803937,y:73.1328912}, {x:33.5783558,y:73.1318934}, {x:33.5778552,y:73.1266364}, {x:33.574083,y:73.1219848}, {x:33.5714906,y:73.1229551}, {x:33.5671639,y:73.1196603}, {x:33.5654836,y:73.1213608}, {x:33.5634814,y:73.119628}, {x:33.5624438,y:73.1211432}, {x:33.5617818,y:73.1217308}, {x:33.5572123,y:73.1230396}, {x:33.5573464,y:73.1254429}, {x:33.5568636,y:73.1293696}, {x:33.558777,y:73.1336504}, {x:33.5589022,y:73.1356138}]]"
